transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0090024,2025-01-05,188.46,188.46,GBP,Premier Inn,Mobile Payment,Premier Inn,Travel,Completed,False,,
TXN0090060,2025-01-05,9.08,9.08,GBP,Airbnb,Card Payment,Payment to Airbnb,Travel,Completed,False,,
TXN0090006,2025-01-05,91.48,91.48,GBP,Costa Coffee,Mobile Payment,Mobile Payment - Costa Coffee,Food & Drink,Completed,False,,
TXN0090035,2025-01-06,142.16,142.16,GBP,Shell Petrol,Bank Transfer,Bank Transfer - Shell Petrol,Transport,Completed,False,,
TXN0090087,2025-01-07,161.17,161.17,GBP,Pret A Manger,ATM Withdrawal,Pret A Manger - ATM Withdrawal,Food & Drink,Completed,False,,
TXN0090077,2025-01-07,198.13,198.13,GBP,M&S,Card Payment,Payment to M&S,Groceries,Completed,False,,
TXN0090012,2025-01-08,178.11,178.11,GBP,Amazon Prime,Mobile Payment,Mobile Payment - Amazon Prime,Online Shopping,Completed,False,,
TXN0090019,2025-01-12,170.46,170.46,GBP,eBay,Bank Transfer,Payment to eBay,Online Shopping,Failed,False,,
TXN0090083,2025-01-13,181.51,181.51,GBP,Thames Water,Bank Transfer,Thames Water,Utilities,Completed,False,,
TXN0090082,2025-01-16,61.51,61.51,GBP,Amazon Prime,Online Purchase,Payment to Amazon Prime,Online Shopping,Completed,False,,
TXN0090057,2025-01-20,60.21,60.21,GBP,Hotels.com,Mobile Payment,Mobile Payment - Hotels.com,Travel,Completed,False,,
TXN0090053,2025-01-22,227.34,227.34,GBP,Amazon Prime,Card Payment,Amazon Prime,Online Shopping,Completed,False,,
TXN0090067,2025-01-22,178.22,178.22,GBP,Shell Petrol,Mobile Payment,Shell Petrol,Transport,Completed,False,,
TXN0090092,2025-01-25,1156.33,1156.33,GBP,TransferWise,Bank Transfer,Payment to TransferWise,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0090051,2025-01-28,133.51,133.51,GBP,M&S,ATM Withdrawal,Payment to M&S,Groceries,Completed,False,,
TXN0090018,2025-01-29,-982.32,-982.32,GBP,Uber,Mobile Payment,Uber,Transport,Completed,False,,
TXN0090034,2025-02-01,1218.86,1218.86,GBP,Tesco Bank Loan,Online Purchase,Payment to Tesco Bank Loan,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0090008,2025-02-07,502.95,502.95,GBP,Virgin Atlantic,Card Payment,Virgin Atlantic,Travel,Pending,False,FW15,
TXN0090055,2025-02-07,653.59,653.59,GBP,PayPal Transfer,Standing Order,Payment to PayPal Transfer,Money Transfer,Completed,False,FW20_Transfer|FW15,
TXN0090075,2025-02-10,89.74,89.74,GBP,National Rail,ATM Withdrawal,ATM Withdrawal - National Rail,Transport,Completed,False,,
TXN0090064,2025-02-11,142.74,142.74,GBP,Sainsbury's,Standing Order,Sainsbury's - Standing Order,Groceries,Completed,False,,
TXN0090070,2025-02-13,282.31,282.31,GBP,888 Casino,Contactless,888 Casino - Contactless,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0090061,2025-02-22,160.79,160.79,GBP,Argos,Mobile Payment,Argos - Mobile Payment,Electronics,Completed,False,,
TXN0090066,2025-02-24,1169.39,1169.39,GBP,Tiffany & Co,ATM Withdrawal,ATM Withdrawal - Tiffany & Co,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0090010,2025-02-26,239.21,239.21,GBP,Texaco,Contactless,Texaco,Transport,Completed,False,,
TXN0090040,2025-02-26,184.13,184.13,GBP,National Rail,Online Purchase,National Rail - Online Purchase,Transport,Completed,False,,
TXN0090062,2025-02-28,130.92,130.92,GBP,Asda,ATM Withdrawal,Asda,Groceries,Completed,False,,
TXN0090027,2025-02-28,651.27,651.27,GBP,British Gas,Direct Debit,British Gas,Utilities,Completed,False,FW15,
TXN0090065,2025-04-02,133.47,133.47,GBP,Spotify,ATM Withdrawal,Spotify,Entertainment,Completed,False,,
TXN0090085,2025-04-13,202.54,202.54,GBP,Shell Petrol,Purchase,Shell Petrol - Purchase,Transport,Completed,False,,
TXN0090037,2025-04-13,33.87,33.87,GBP,Amazon UK,Purchase,Amazon UK - Purchase,Online Shopping,Completed,False,,
TXN0090094,2025-04-16,431.2,431.2,GBP,M&S,Refund,M&S - Refund,Groceries,Completed,False,FW15,
TXN0090030,2025-04-18,56.84,56.84,GBP,Texaco,Standing Order,Texaco - Standing Order,Transport,Completed,False,,
