transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0070024,2025-01-05,78.97,78.97,GBP,Amazon Prime,Mobile Payment,Amazon Prime,Online Shopping,Completed,False,,
TXN0070016,2025-01-06,119.26,119.26,GBP,BP Station,Card Payment,Card Payment - BP Station,Transport,Completed,False,,
TXN0070087,2025-01-10,152.79,152.79,GBP,Wire Transfer,Refund,Wire Transfer - Refund,Unknown,Completed,False,FW25,Missing audit trail
TXN0070092,2025-01-13,356.84,356.84,GBP,PokerStars,Direct Debit,Direct Debit - PokerStars,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0070093,2025-01-15,247.9,247.9,GBP,PokerStars,Online Purchase,Online Purchase - PokerStars,Gambling,Completed,False,FW45,Gambling transaction
TXN0070012,2025-01-15,177.48,177.48,GBP,Premier Inn,Online Purchase,Online Purchase - Premier Inn,Travel,Completed,False,,
TXN0070054,2025-01-15,115.08,115.08,GBP,Texaco,Direct Debit,Texaco,Transport,Completed,False,,
TXN0070032,2025-01-16,761.94,761.94,GBP,Amazon Prime,Purchase,Purchase - Amazon Prime,Online Shopping,Completed,False,FW15,
TXN0070059,2025-01-19,1050.34,1050.34,GBP,AMEX Payment,Card Payment,Card Payment - AMEX Payment,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0070065,2025-01-26,30.42,30.42,GBP,Booking.com,Online Purchase,Booking.com - Online Purchase,Travel,Completed,False,,
TXN0070091,2025-01-26,119.87,119.87,GBP,Apple Store,Purchase,Apple Store - Purchase,Electronics,Completed,False,,
TXN0070008,2025-01-27,340.76,340.76,GBP,PokerStars,Online Purchase,Payment to PokerStars,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0070018,2025-01-30,88.27,88.27,GBP,Argos,Purchase,Argos,Electronics,Completed,False,,
TXN0070005,2025-02-05,175.63,175.63,GBP,EDF Energy,ATM Withdrawal,ATM Withdrawal - EDF Energy,Utilities,Completed,False,,
TXN0070061,2025-02-07,170.17,170.17,GBP,Wire Transfer,Contactless,Wire Transfer,Unknown,Completed,False,FW25,Missing audit trail
TXN0070086,2025-02-07,88.26,88.26,GBP,Samsung Store,Standing Order,Samsung Store - Standing Order,Electronics,Completed,False,,
TXN0070094,2025-02-08,144.59,144.59,GBP,Morrisons,ATM Withdrawal,Morrisons - ATM Withdrawal,Groceries,Completed,False,,
TXN0070076,2025-02-09,910.62,910.62,GBP,PayPal Transfer,Mobile Payment,Payment to PayPal Transfer,Money Transfer,Completed,False,FW20_Transfer|FW15,
TXN0070029,2025-02-14,88.7,88.7,GBP,Siansburys,Card Payment,Siansburys - Card Payment,Error,Completed,False,FW40_Misspelling,
TXN0070090,2025-02-15,2683.2,2683.2,GBP,Tiffany & Co,Online Purchase,Online Purchase - Tiffany & Co,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0070085,2025-02-15,239.06,239.06,GBP,John Lewis,Contactless,John Lewis - Contactless,Online Shopping,Completed,False,,
TXN0070036,2025-02-16,2040.76,2040.76,GBP,Rolex Boutique,Contactless,Rolex Boutique,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0070071,2025-02-17,166.93,166.93,GBP,Starbucks,Purchase,Starbucks - Purchase,Food & Drink,Completed,False,,
TXN0070060,2025-02-23,1098.78,1098.78,GBP,TransferWise,Direct Debit,TransferWise,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0070078,2025-02-23,126.28,126.28,GBP,Premier Inn,ATM Withdrawal,Premier Inn - ATM Withdrawal,Travel,Completed,False,,
TXN0070058,2025-02-27,112.78,112.78,GBP,Sainsbury's,Refund,Refund - Sainsbury's,Groceries,Completed,False,,
TXN0070067,2025-02-28,15.72,15.72,GBP,EDF Energy,Online Purchase,Payment to EDF Energy,Utilities,Completed,False,,
TXN0070075,2025-04-01,10.91,10.91,GBP,EasyJet,ATM Withdrawal,ATM Withdrawal - EasyJet,Travel,Completed,False,,
TXN0070026,2025-04-02,1382.69,1382.69,GBP,Burberry,Purchase,Purchase - Burberry,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0070002,2025-04-02,876.53,876.53,GBP,Esso,Purchase,Purchase - Esso,Transport,Completed,False,FW15,
TXN0070023,2025-04-02,19.17,19.17,GBP,Sky TV,Online Purchase,Sky TV,Entertainment,Completed,False,,
TXN0070066,2025-04-03,132.59,132.59,GBP,Uber,Direct Debit,Uber - Direct Debit,Transport,Completed,False,,
TXN0070077,2025-04-05,193.18,193.18,GBP,Tesco Supermarket,Mobile Payment,Tesco Supermarket - Mobile Payment,Groceries,Completed,False,,
TXN0070037,2025-04-06,1955.58,1955.58,GBP,TransferWise,Card Payment,TransferWise - Card Payment,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0070046,2025-04-07,240.05,240.05,GBP,EasyJet,Bank Transfer,Bank Transfer - EasyJet,Travel,Completed,False,,
TXN0070028,2025-04-08,5.44,5.44,GBP,Netflix,ATM Withdrawal,ATM Withdrawal - Netflix,Entertainment,Completed,False,,
TXN0070073,2025-04-09,36.72,36.72,GBP,Netflix,Card Payment,Netflix,Entertainment,Pending,False,,
TXN0070031,2025-04-10,224.23,224.23,GBP,Pret A Manger,Bank Transfer,Pret A Manger - Bank Transfer,Food & Drink,Completed,False,,
TXN0070048,2025-04-10,98.69,98.69,GBP,888 Casino,Refund,Payment to 888 Casino,Gambling,Completed,False,FW45,Gambling transaction
TXN0070035,2025-04-10,173.64,173.64,GBP,Ladbrokes,Bank Transfer,Payment to Ladbrokes,Gambling,Completed,False,FW45,Gambling transaction
TXN0070017,2025-04-11,118.47,118.47,GBP,Costa Coffee,Card Payment,Card Payment - Costa Coffee,Food & Drink,Completed,False,,
TXN0070088,2025-04-12,277.22,277.22,GBP,William Hill,Contactless,Contactless - William Hill,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0070033,2025-04-12,168.25,168.25,GBP,John Lewis,Direct Debit,John Lewis,Online Shopping,Failed,False,,
TXN0070063,2025-04-13,266.36,266.36,GBP,Metro Bank Credit,Purchase,Metro Bank Credit - Purchase,Debt Payment,Completed,False,FW15,
TXN0070069,2025-04-17,240.97,240.97,GBP,William Hill,Purchase,Purchase - William Hill,Gambling,Completed,False,FW45,Gambling transaction
TXN0070009,2025-04-17,317.16,317.16,GBP,Uber,Purchase,Uber - Purchase,Transport,Completed,False,FW15,
TXN0070019,2025-04-19,168.63,168.63,GBP,McDonald's,Direct Debit,McDonald's - Direct Debit,Food & Drink,Completed,False,,
TXN0070003,2025-04-19,285.71,285.71,GBP,John Lewis,Mobile Payment,John Lewis,Online Shopping,Completed,False,FW15,
TXN0070096,2025-04-20,1127.31,1127.31,GBP,Capital One Payment,Standing Order,Capital One Payment - Standing Order,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0070039,2025-04-23,1635.21,1635.21,GBP,Tiffany & Co,Refund,Tiffany & Co,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0070099,2025-04-23,103.84,103.84,GBP,Barcley Bank,Card Payment,Payment to Barcley Bank,Error,Completed,False,FW40_Misspelling,
TXN0070062,2025-04-26,122.53,122.53,GBP,Virgin Atlantic,Direct Debit,Virgin Atlantic - Direct Debit,Travel,Completed,False,,
TXN0070081,2025-04-30,370.82,370.82,GBP,Amazon Prime,Online Purchase,Amazon Prime,Online Shopping,Completed,False,FW15,
TXN0070010,2025-05-01,915.03,915.03,GBP,Xoom,Refund,Xoom - Refund,Money Transfer,Completed,False,FW20_Transfer|FW15,
TXN0070027,2025-05-03,63.89,63.89,GBP,M&S,ATM Withdrawal,ATM Withdrawal - M&S,Groceries,Completed,False,,
TXN0070020,2025-05-04,186.43,186.43,GBP,Samsung Store,Refund,Payment to Samsung Store,Electronics,Completed,False,,
TXN0070068,2025-05-06,990.48,990.48,GBP,Octopus Energy,Bank Transfer,Octopus Energy - Bank Transfer,Utilities,Completed,False,FW15,
TXN0070089,2025-05-09,231.37,231.37,GBP,Morrisons,Mobile Payment,Morrisons,Groceries,Completed,False,,
TXN0070049,2025-05-10,266.34,266.34,GBP,TransferWise,Direct Debit,Payment to TransferWise,Money Transfer,Completed,False,FW20_Transfer|FW15,
TXN0070001,2025-05-11,14.07,14.07,GBP,Amazon UK,Online Purchase,Amazon UK - Online Purchase,Online Shopping,Completed,False,,
TXN0070098,2025-05-12,214.1,214.1,GBP,Booking.com,Online Purchase,Booking.com - Online Purchase,Travel,Completed,False,,
TXN0070051,2025-05-13,9.23,9.23,GBP,Esso,Bank Transfer,Payment to Esso,Transport,Completed,False,,
TXN0070082,2025-05-16,134.76,134.76,GBP,Costa Coffee,Standing Order,Standing Order - Costa Coffee,Food & Drink,Completed,False,,
TXN0070038,2025-05-21,1454.33,1454.33,GBP,HSBC Loan Repayment,Direct Debit,Payment to HSBC Loan Repayment,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0070043,2025-05-21,86.61,86.61,GBP,Sky TV,Contactless,Contactless - Sky TV,Entertainment,Completed,False,,
TXN0070047,2025-05-23,-97.53,-97.53,GBP,EasyJet,ATM Withdrawal,Payment to EasyJet,Travel,Completed,False,,
TXN0070013,2025-05-24,19.3,19.3,GBP,Costa Coffee,Refund,Costa Coffee - Refund,Food & Drink,Completed,False,,
TXN0070015,2025-05-25,32.4,32.4,GBP,BP Station,Direct Debit,BP Station - Direct Debit,Transport,Completed,False,,
TXN0070083,2025-05-30,119.09,119.09,GBP,Tesco Supermarket,Card Payment,Tesco Supermarket - Card Payment,Groceries,Completed,False,,
TXN0070095,2025-07-02,320.65,320.65,GBP,EDF Energy,Purchase,EDF Energy - Purchase,Utilities,Completed,False,FW15,
TXN0070041,2025-07-03,201.61,201.61,GBP,Samsung Store,Card Payment,Card Payment - Samsung Store,Electronics,Completed,False,,
TXN0070044,2025-07-05,723.58,723.58,GBP,John Lewis,Bank Transfer,John Lewis - Bank Transfer,Online Shopping,Completed,False,FW15,
TXN0070042,2025-07-05,247.87,247.87,GBP,Apple Store,Refund,Apple Store,Electronics,Completed,False,,
TXN0070070,2025-07-07,186.33,186.33,GBP,EasyJet,Contactless,EasyJet,Travel,Completed,False,,
TXN0070072,2025-07-10,219.65,219.65,GBP,William Hill,ATM Withdrawal,Payment to William Hill,Gambling,Completed,False,FW45,Gambling transaction
TXN0070045,2025-07-11,3105.44,3105.44,GBP,National Rail,Refund,National Rail,Transport,Completed,False,FW15,High value transaction
TXN0070030,2025-07-12,-101.7,-101.7,GBP,Sky TV,Bank Transfer,Sky TV - Bank Transfer,Entertainment,Completed,False,,
TXN0070053,2025-07-12,794.31,794.31,GBP,National Rail,Mobile Payment,National Rail - Mobile Payment,Transport,Completed,False,FW15,
TXN0070064,2025-07-13,2788.36,2788.36,GBP,Tiffany & Co,Contactless,Tiffany & Co - Contactless,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0070084,2025-07-13,363.15,363.15,GBP,HSBC Loan Repayment,ATM Withdrawal,HSBC Loan Repayment,Debt Payment,Completed,False,FW15,
TXN0070014,2025-07-14,93.82,93.82,GBP,TfL Transport,Direct Debit,TfL Transport - Direct Debit,Transport,Completed,False,,
TXN0070007,2025-07-23,785.52,785.52,GBP,Virgin Atlantic,Online Purchase,Online Purchase - Virgin Atlantic,Travel,Completed,False,FW15,
TXN0070040,2025-07-23,260.59,260.59,GBP,Amazon Prime,Mobile Payment,Mobile Payment - Amazon Prime,Online Shopping,Completed,False,FW15,
TXN0070057,2025-07-24,628.8,628.8,GBP,Texaco,Card Payment,Texaco - Card Payment,Transport,Completed,False,FW15,
TXN0070025,2025-07-27,153.92,153.92,GBP,BP Station,Mobile Payment,Payment to BP Station,Transport,Completed,False,,
TXN0070004,2025-07-30,196.08,196.08,GBP,Amazon Prime,Standing Order,Amazon Prime,Online Shopping,Completed,False,,
TXN0070055,2025-08-03,111.76,111.76,GBP,National Rail,Mobile Payment,National Rail - Mobile Payment,Transport,Completed,False,,
TXN0070006,2025-08-04,-1493.95,-1493.95,GBP,Louis Vuitton,Purchase,Payment to Louis Vuitton,Luxury,Completed,False,FW20_Luxury,Luxury purchase
TXN0070011,2025-08-06,872.27,872.27,GBP,Unknown Merchant,Card Payment,Unknown Merchant,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0070022,2025-08-07,86.04,86.04,GBP,British Gas,Direct Debit,British Gas - Direct Debit,Utilities,Completed,False,,
TXN0070050,2025-08-07,216.67,216.67,GBP,Wire Transfer,Mobile Payment,Wire Transfer - Mobile Payment,Unknown,Completed,False,FW25,Missing audit trail
TXN0070034,2025-08-17,216.44,216.44,GBP,Waitrose,Mobile Payment,Waitrose,Groceries,Completed,False,,
TXN0070056,2025-08-19,4036.92,4036.92,GBP,TfL Transport,Card Payment,Payment to TfL Transport,Transport,Completed,False,FW15,High value transaction
TXN0070021,2025-08-22,317.75,317.75,GBP,Barclaycard Payment,Bank Transfer,Barclaycard Payment,Debt Payment,Completed,False,FW15,
TXN0070000,2025-08-24,79.22,79.22,GBP,Unknown Merchant,Contactless,Unknown Merchant,Unknown,Completed,False,FW25,Missing audit trail
TXN0070074,2025-08-25,1445.37,1445.37,GBP,Santander Mortgage,Card Payment,Santander Mortgage,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0070079,2025-08-25,145.61,145.61,GBP,Waitrose,Mobile Payment,Mobile Payment - Waitrose,Groceries,Completed,False,,
TXN0070080,2025-08-26,123.44,123.44,GBP,Waitrose,Online Purchase,Online Purchase - Waitrose,Groceries,Completed,False,,
TXN0070052,2025-08-28,-144.9,-144.9,GBP,Uber,Direct Debit,Uber - Direct Debit,Transport,Completed,False,,
TXN0070097,2025-08-28,214.8,214.8,GBP,Amazon Prime,ATM Withdrawal,Payment to Amazon Prime,Online Shopping,Completed,False,,
