transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0050079,2025-01-02,327.67,327.67,GBP,Sky Bet,Direct Debit,Payment to Sky Bet,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0050055,2025-01-03,171.21,171.21,GBP,HSBC Loan Repayment,ATM Withdrawal,HSBC Loan Repayment,Debt Payment,Completed,False,,
TXN0050003,2025-01-04,46.59,46.59,GBP,British Gas,Standing Order,British Gas - Standing Order,Utilities,Completed,False,,
TXN0050088,2025-01-05,151.91,151.91,GBP,Sky Bet,Bank Transfer,Payment to Sky Bet,Gambling,Completed,False,FW45,Gambling transaction
TXN0050046,2025-01-07,25.51,25.51,GBP,Premier Inn,Direct Debit,Premier Inn - Direct Debit,Travel,Completed,False,,
TXN0050070,2025-01-09,1136.42,1136.42,GBP,Nationwide Loan,Bank Transfer,Bank Transfer - Nationwide Loan,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0050027,2025-01-09,146.48,146.48,GBP,Tesco Supermarket,Direct Debit,Payment to Tesco Supermarket,Groceries,Completed,False,,
TXN0050064,2025-01-12,572.82,572.82,GBP,Shell Petrol,Contactless,Shell Petrol,Transport,Completed,False,FW15,
TXN0050076,2025-01-13,179.28,179.28,GBP,Premier Inn,Refund,Premier Inn - Refund,Travel,Completed,False,,
TXN0050053,2025-01-17,209.25,209.25,GBP,McDonald's,Purchase,McDonald's,Food & Drink,Completed,False,,
TXN0050008,2025-01-19,694.38,694.38,GBP,British Airways,Bank Transfer,Bank Transfer - British Airways,Travel,Completed,False,FW15,
TXN0050089,2025-01-23,248.79,248.79,GBP,Hotels.com,Standing Order,Payment to Hotels.com,Travel,Completed,False,,
TXN0050063,2025-01-24,1452.71,1452.71,GBP,Azimo,Mobile Payment,Azimo,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0050019,2025-01-26,447.8,447.8,GBP,PokerStars,Refund,PokerStars,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0050057,2025-01-27,156.7,156.7,GBP,Airbnb,Contactless,Payment to Airbnb,Travel,Completed,False,,
