transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0020055,2025-01-01,1049.35,1049.35,GBP,Barclaycard Payment,Mobile Payment,Barclaycard Payment - Mobile Payment,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0020042,2025-01-01,162.62,162.62,GBP,Airbnb,Mobile Payment,Airbnb,Travel,Completed,False,,
TXN0020000,2025-01-04,35.61,35.61,GBP,888 Casino,Online Purchase,Online Purchase - 888 Casino,Gambling,Completed,False,FW45,Gambling transaction
TXN0020057,2025-01-06,1660.09,1660.09,GBP,Azimo,Mobile Payment,Mobile Payment - Azimo,Money Transfer,Completed,False,FW20_Transfer|FW15,High value transaction
TXN0020033,2025-01-08,124.91,124.91,GBP,Shell Petrol,Online Purchase,Payment to Shell Petrol,Transport,Completed,False,,
TXN0020089,2025-01-09,186.39,186.39,GBP,Texaco,Contactless,Texaco,Transport,Completed,False,,
TXN0020062,2025-01-14,14.116999999999999,141.17,GBP,Currys PC World,Bank Transfer,Payment to Currys PC World,Electronics,Completed,True,FW40_Calculation,Data error detected
TXN0020005,2025-01-15,3253.67,3253.67,GBP,Amazon Prime,Mobile Payment,Amazon Prime,Online Shopping,Completed,False,FW15,High value transaction
TXN0020087,2025-01-16,78.52,78.52,GBP,Hotels.com,Online Purchase,Online Purchase - Hotels.com,Travel,Completed,False,,
TXN0020009,2025-01-20,150.62,150.62,GBP,Apple Store,Online Purchase,Payment to Apple Store,Electronics,Completed,False,,
TXN0020091,2025-01-21,75.92,75.92,GBP,eBay,Direct Debit,Direct Debit - eBay,Online Shopping,Completed,False,,
TXN0020002,2025-01-21,231.35,231.35,GBP,Premier Inn,Contactless,Payment to Premier Inn,Travel,Completed,False,,
TXN0020048,2025-01-23,241.53,241.53,GBP,Trainline,Bank Transfer,Trainline,Transport,Completed,False,,
TXN0020040,2025-01-27,202.72,202.72,GBP,Octopus Energy,Bank Transfer,Octopus Energy,Utilities,Completed,False,,
TXN0020012,2025-02-01,-232.47,-232.47,GBP,Currys PC World,Direct Debit,Direct Debit - Currys PC World,Electronics,Completed,False,,
TXN0020052,2025-02-02,33.14,33.14,GBP,Netflix,Refund,Netflix - Refund,Entertainment,Completed,False,,
TXN0020094,2025-02-03,127.59,127.59,GBP,Amazon UK,Direct Debit,Amazon UK - Direct Debit,Online Shopping,Completed,False,,
TXN0020037,2025-02-05,539.47,539.47,GBP,Virgin Money Credit Card,Standing Order,Virgin Money Credit Card,Debt Payment,Completed,False,FW50|FW15,
TXN0020021,2025-02-06,29.58,29.58,GBP,Octopus Energy,Purchase,Purchase - Octopus Energy,Utilities,Completed,False,,
TXN0020018,2025-02-07,134.65,134.65,GBP,EasyJet,Contactless,Payment to EasyJet,Travel,Completed,False,,
TXN0020066,2025-02-07,130.84,130.84,GBP,Esso,Standing Order,Esso,Transport,Completed,False,,
TXN0020044,2025-02-07,180.86,180.86,GBP,Shell Petrol,Refund,Shell Petrol,Transport,Completed,False,,
TXN0020059,2025-02-09,242.33,242.33,GBP,Tesco Supermarket,Standing Order,Tesco Supermarket,Groceries,Completed,False,,
TXN0020054,2025-02-10,80.95,80.95,GBP,Asda,Direct Debit,Asda - Direct Debit,Groceries,Completed,False,,
TXN0020008,2025-02-11,191.44,191.44,GBP,Starbucks,Bank Transfer,Bank Transfer - Starbucks,Food & Drink,Completed,False,,
TXN0020014,2025-02-11,63.57,63.57,GBP,Tesco Supermarket,Contactless,Tesco Supermarket,Groceries,Completed,False,,
TXN0020046,2025-02-15,12.19,12.19,GBP,Sainsbury's,Card Payment,Sainsbury's,Groceries,Completed,False,,
TXN0020027,2025-02-17,641.31,641.31,GBP,Unknown Merchant,Mobile Payment,Mobile Payment - Unknown Merchant,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0020036,2025-02-19,668.28,668.28,GBP,Versace,Standing Order,Versace,Luxury,Completed,False,FW20_Luxury|FW15,Luxury purchase
TXN0020061,2025-02-20,65.39,65.39,GBP,McDonald's,Contactless,McDonald's,Food & Drink,Completed,False,,
TXN0020003,2025-02-20,7.73,7.73,GBP,Booking.com,Standing Order,Payment to Booking.com,Travel,Completed,False,,
TXN0020076,2025-02-23,891.82,891.82,GBP,Cash Withdrawal ATM,Direct Debit,Cash Withdrawal ATM - Direct Debit,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0020068,2025-02-24,340.21,340.21,GBP,AMEX Payment,Mobile Payment,Mobile Payment - AMEX Payment,Debt Payment,Completed,False,FW15,
TXN0020011,2025-02-24,185.13,185.13,GBP,Spotify,Contactless,Spotify,Entertainment,Completed,False,,
TXN0020038,2025-04-03,65.84,65.84,GBP,Sainsbury's,Bank Transfer,Sainsbury's,Groceries,Completed,False,,
TXN0020071,2025-04-04,275.59,275.59,GBP,Dior,Bank Transfer,Bank Transfer - Dior,Luxury,Completed,False,FW20_Luxury|FW15,Luxury purchase
TXN0020016,2025-04-05,1821.11,1821.11,GBP,Cartier,Online Purchase,Cartier,Luxury,Failed,False,FW20_Luxury|FW15,High value transaction
TXN0020053,2025-04-05,374.36,374.36,GBP,Betway,ATM Withdrawal,ATM Withdrawal - Betway,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0020090,2025-04-06,173.28,173.28,GBP,Sainsbury's,Online Purchase,Payment to Sainsbury's,Groceries,Completed,False,,
TXN0020051,2025-04-06,235.82,235.82,GBP,PokerStars,Bank Transfer,PokerStars,Gambling,Completed,False,FW45,Gambling transaction
TXN0020063,2025-04-10,154.06,154.06,GBP,Amazon UK,Contactless,Amazon UK - Contactless,Online Shopping,Completed,False,,
TXN0020084,2025-04-13,174.18,174.18,GBP,Esso,Refund,Esso,Transport,Completed,False,,
TXN0020096,2025-04-14,-103.98,-103.98,GBP,Shell Petrol,Card Payment,Shell Petrol,Transport,Completed,False,,
TXN0020015,2025-04-16,173.22,173.22,GBP,eBay,Contactless,Payment to eBay,Online Shopping,Completed,False,,
TXN0020067,2025-04-16,81.44,81.44,GBP,Sainsbury's,Card Payment,Payment to Sainsbury's,Groceries,Completed,False,,
TXN0020083,2025-04-19,671.96,671.96,GBP,Nationwide Loan,Purchase,Nationwide Loan - Purchase,Debt Payment,Completed,False,FW50|FW15,
TXN0020043,2025-04-25,98.11,98.11,GBP,Argos,Online Purchase,Argos - Online Purchase,Electronics,Completed,False,,
TXN0020086,2025-04-27,269.35,269.35,GBP,William Hill,Online Purchase,William Hill,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0020075,2025-04-28,188.41,188.41,GBP,Airbnb,Bank Transfer,Payment to Airbnb,Travel,Completed,False,,
TXN0020025,2025-04-28,2687.36,2687.36,GBP,Burberry,Direct Debit,Burberry - Direct Debit,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0020088,2025-04-29,-55.2,-55.2,GBP,Hotels.com,Refund,Refund - Hotels.com,Travel,Completed,False,,
TXN0020093,2025-04-29,356.09,356.09,GBP,Unspecified Merchant,Standing Order,Standing Order - Unspecified Merchant,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0020073,2025-04-30,140.56,140.56,GBP,Amazon Prime,Mobile Payment,Payment to Amazon Prime,Online Shopping,Completed,False,,
TXN0020085,2025-05-01,228.71,228.71,GBP,Octopus Energy,Bank Transfer,Bank Transfer - Octopus Energy,Utilities,Completed,False,,
