transaction_id,date,amount,actual_amount,currency,merchant,transaction_type,description,category,status,has_error,fw_requirements,notes
TXN0040029,2025-01-04,1449.46,1449.46,GBP,Prada,Contactless,Prada,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0040037,2025-01-07,672.67,672.67,GBP,John Lewis,Card Payment,John Lewis,Online Shopping,Completed,False,FW15,
TXN0040077,2025-01-09,109.38,109.38,GBP,Asda,Direct Debit,Payment to Asda,Groceries,Completed,False,,
TXN0040087,2025-01-10,215.29,215.29,GBP,National Rail,Purchase,National Rail - Purchase,Transport,Completed,False,,
TXN0040013,2025-01-11,28.42,28.42,GBP,Bet365,ATM Withdrawal,Bet365,Gambling,Completed,False,FW45,Gambling transaction
TXN0040089,2025-01-12,521.52,521.52,GBP,John Lewis,Refund,John Lewis - Refund,Online Shopping,Completed,False,FW15,
TXN0040027,2025-01-12,2167.5,2167.5,GBP,Prada,Standing Order,Prada,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0040071,2025-01-13,129.67,129.67,GBP,EDF Energy,Direct Debit,EDF Energy - Direct Debit,Utilities,Completed,False,,
TXN0040022,2025-01-14,508.3,508.3,GBP,M&S,Mobile Payment,M&S - Mobile Payment,Groceries,Completed,False,FW15,
TXN0040055,2025-01-18,83.15,83.15,GBP,Netflix,Purchase,Purchase - Netflix,Entertainment,Completed,False,,
TXN0040099,2025-01-19,112.12,112.12,GBP,Costa Coffee,Standing Order,Costa Coffee,Food & Drink,Completed,False,,
TXN0040009,2025-01-19,58.46,58.46,GBP,Virgin Atlantic,Contactless,Payment to Virgin Atlantic,Travel,Completed,False,,
TXN0040086,2025-01-22,463.79,463.79,GBP,EasyJet,Purchase,Purchase - EasyJet,Travel,Completed,False,FW15,
TXN0040083,2025-01-22,87.27,87.27,GBP,Esso,Contactless,Payment to Esso,Transport,Completed,False,,
TXN0040039,2025-01-25,595.14,595.14,GBP,Wire Transfer,Bank Transfer,Bank Transfer - Wire Transfer,Unknown,Completed,False,FW25|FW15,Missing audit trail
TXN0040017,2025-01-27,59.2,59.2,GBP,Netflix,Online Purchase,Netflix - Online Purchase,Entertainment,Completed,False,,
TXN0040068,2025-01-27,228.13,228.13,GBP,Octopus Energy,Refund,Refund - Octopus Energy,Utilities,Completed,False,,
TXN0040095,2025-01-30,159.2,159.2,GBP,Uber,Purchase,Uber,Transport,Completed,False,,
TXN0040059,2025-02-01,149.97,149.97,GBP,Sky TV,Mobile Payment,Sky TV,Entertainment,Completed,False,,
TXN0040030,2025-02-03,200.98,200.98,GBP,Netflix,Bank Transfer,Bank Transfer - Netflix,Entertainment,Completed,False,,
TXN0040018,2025-02-05,-47.76,-47.76,GBP,eBay,ATM Withdrawal,Payment to eBay,Online Shopping,Completed,False,,
TXN0040096,2025-02-05,2937.66,2937.66,GBP,Louis Vuitton,Direct Debit,Direct Debit - Louis Vuitton,Luxury,Completed,False,FW20_Luxury|FW15,High value transaction
TXN0040060,2025-02-07,102.74,102.74,GBP,Esso,Mobile Payment,Mobile Payment - Esso,Transport,Completed,False,,
TXN0040051,2025-02-11,3130.97,3130.97,GBP,Amazon UK,Purchase,Amazon UK,Online Shopping,Completed,False,FW15,High value transaction
TXN0040019,2025-02-11,23.5,23.5,GBP,Samsung Store,Bank Transfer,Payment to Samsung Store,Electronics,Completed,False,,
TXN0040058,2025-02-14,187.11,187.11,GBP,Texaco,Online Purchase,Texaco - Online Purchase,Transport,Completed,False,,
TXN0040088,2025-02-14,71.57,71.57,GBP,Uber,Direct Debit,Payment to Uber,Transport,Completed,False,,
TXN0040015,2025-02-16,78.01,78.01,GBP,Virgin Atlantic,Standing Order,Standing Order - Virgin Atlantic,Travel,Completed,False,,
TXN0040011,2025-02-17,400.42,400.42,GBP,Amazon Prime,Bank Transfer,Amazon Prime,Online Shopping,Completed,False,FW15,
TXN0040040,2025-02-17,39.89,39.89,GBP,Costa Coffee,ATM Withdrawal,Costa Coffee - ATM Withdrawal,Food & Drink,Completed,False,,
TXN0040081,2025-02-18,2956.99,2956.99,GBP,Sky TV,Online Purchase,Sky TV - Online Purchase,Entertainment,Completed,False,FW15,High value transaction
TXN0040007,2025-02-19,36.52,36.52,GBP,Currys PC World,Bank Transfer,Payment to Currys PC World,Electronics,Completed,False,,
TXN0040031,2025-02-21,-165.19,-165.19,GBP,EDF Energy,Online Purchase,EDF Energy,Utilities,Completed,False,,
TXN0040036,2025-02-22,198.43,198.43,GBP,Netflix,Refund,Netflix - Refund,Entertainment,Completed,False,,
TXN0040008,2025-02-24,225.24,225.24,GBP,M&S,ATM Withdrawal,M&S,Groceries,Completed,False,,
TXN0040046,2025-02-24,1343.29,1343.29,GBP,Virgin Money Credit Card,Purchase,Virgin Money Credit Card - Purchase,Debt Payment,Completed,False,FW50|FW15,High value transaction
TXN0040026,2025-02-25,717.39,717.39,GBP,Hermes Paris,Online Purchase,Payment to Hermes Paris,Luxury,Completed,False,FW20_Luxury|FW15,Luxury purchase
TXN0040012,2025-02-27,195.22,195.22,GBP,Amazon UK,Online Purchase,Amazon UK,Online Shopping,Completed,False,,
TXN0040033,2025-02-28,192.54,192.54,GBP,Esso,Refund,Esso - Refund,Transport,Completed,False,,
TXN0040067,2025-02-28,198.43,198.43,GBP,Esso,Purchase,Purchase - Esso,Transport,Completed,False,,
TXN0040097,2025-04-04,201.55,201.55,GBP,Pret A Manger,Online Purchase,Payment to Pret A Manger,Food & Drink,Completed,False,,
TXN0040094,2025-04-04,3873.93,3873.93,GBP,Costa Coffee,Mobile Payment,Costa Coffee,Food & Drink,Completed,False,FW15,High value transaction
TXN0040044,2025-04-04,160.56,160.56,GBP,Xoom,Direct Debit,Direct Debit - Xoom,Money Transfer,Completed,False,FW20_Transfer,
TXN0040003,2025-04-07,-68.3,-68.3,GBP,Starbucks,Direct Debit,Direct Debit - Starbucks,Food & Drink,Completed,False,,
TXN0040034,2025-04-11,226.19,226.19,GBP,Hotels.com,Direct Debit,Direct Debit - Hotels.com,Travel,Completed,False,,
TXN0040079,2025-04-11,224.54,224.54,GBP,Texaco,Online Purchase,Online Purchase - Texaco,Transport,Completed,False,,
TXN0040090,2025-04-12,44.37,44.37,GBP,Starbucks,ATM Withdrawal,Starbucks - ATM Withdrawal,Food & Drink,Completed,False,,
TXN0040045,2025-04-12,283.13,283.13,GBP,888 Casino,Contactless,888 Casino - Contactless,Gambling,Completed,False,FW45|FW15,Gambling transaction
TXN0040073,2025-04-13,84.9,84.9,GBP,HSCB Bank,Direct Debit,Direct Debit - HSCB Bank,Error,Completed,False,FW40_Misspelling,
TXN0040065,2025-04-13,248.94,248.94,GBP,EasyJet,Online Purchase,EasyJet,Travel,Completed,False,,
TXN0040061,2025-04-17,183.88,183.88,GBP,Argos,Contactless,Argos,Electronics,Completed,False,,
TXN0040056,2025-04-18,180.73,180.73,GBP,Morrisons,Contactless,Payment to Morrisons,Groceries,Completed,False,,
TXN0040043,2025-04-24,242.21,242.21,GBP,M&S,Mobile Payment,M&S - Mobile Payment,Groceries,Completed,False,,
TXN0040076,2025-04-26,1510.0,1510.0,GBP,Western Union,Card Payment,Card Payment - Western Union,Money Transfer,Failed,False,FW20_Transfer|FW15,High value transaction
TXN0040004,2025-04-27,337.09,337.09,GBP,Argos,Direct Debit,Argos,Electronics,Completed,False,FW15,
TXN0040014,2025-04-27,734.19,734.19,GBP,Xoom,Contactless,Xoom - Contactless,Money Transfer,Completed,False,FW20_Transfer|FW15,
TXN0040028,2025-04-27,196.19,196.19,GBP,Pret A Manger,Standing Order,Pret A Manger,Food & Drink,Pending,False,,
TXN0040074,2025-04-28,32.68,32.68,GBP,Ladbrokes,Bank Transfer,Ladbrokes,Gambling,Completed,False,FW45,Gambling transaction
TXN0040085,2025-04-29,110.94,110.94,GBP,Argos,Direct Debit,Argos,Electronics,Completed,False,,
TXN0040021,2025-05-04,520.22,520.22,GBP,EDF Energy,Contactless,EDF Energy,Utilities,Completed,False,FW15,
TXN0040052,2025-05-07,174.5,174.5,GBP,Samsung Store,Standing Order,Samsung Store,Electronics,Completed,False,,
